iter	Logloss
0	0.6754666213
1	0.6596501381
2	0.6466727686
3	0.6315670941
4	0.6187905022
5	0.609979477
6	0.5988191702
7	0.5887069051
8	0.5794210896
9	0.5697579223
10	0.5616888606
11	0.555036804
12	0.5461602422
13	0.5402711554
14	0.5352535149
15	0.5277174789
16	0.52380818
17	0.5169334624
18	0.5128849484
19	0.5068245813
20	0.502138951
21	0.4976348967
22	0.4944750015
23	0.4891331513
24	0.4852155664
25	0.4810710272
26	0.4786394107
27	0.4751875827
28	0.4722777659
29	0.4690093641
30	0.4653802909
31	0.4625705506
32	0.459999968
33	0.4569825584
34	0.4559548549
35	0.4544360206
36	0.4533242933
37	0.4518164313
38	0.4499116028
39	0.4479932045
40	0.4458464625
41	0.4448301596
42	0.4439928666
43	0.441700268
44	0.4408595219
45	0.439220878
46	0.4380308628
47	0.4366891257
48	0.4354799353
49	0.4345293242
50	0.4336750852
51	0.432108419
52	0.4302374388
53	0.4296885706
54	0.4290208429
55	0.4279830868
56	0.4270755164
57	0.426293359
58	0.4254020696
59	0.4243274339
60	0.4235758534
61	0.4223263306
62	0.4219412151
63	0.4207796499
64	0.4200898495
65	0.4194328514
66	0.4185293878
67	0.4180815983
68	0.4174711619
69	0.4167960175
70	0.4164544742
71	0.4154910068
72	0.4152268458
73	0.4146357117
74	0.4141875827
75	0.4136830966
76	0.4132798488
77	0.4127558223
78	0.4122490734
79	0.4116672933
80	0.4113422693
81	0.41015519
82	0.4093597506
83	0.4089335275
84	0.4086128088
85	0.4080831775
86	0.4077918334
87	0.4071733355
88	0.4067947891
89	0.4064413425
90	0.4060534485
91	0.4056370933
92	0.4052934057
93	0.4047081358
94	0.4042508812
95	0.4039714282
96	0.4036970115
97	0.4033389223
98	0.4028859106
99	0.4024748978
100	0.4022780969
101	0.401714626
102	0.4014503186
103	0.4011764829
104	0.4008734449
105	0.4005911577
106	0.4002940874
107	0.3999743792
108	0.3995801226
109	0.399353002
110	0.3984028405
111	0.3977611416
112	0.3975814803
113	0.397333642
114	0.397132414
115	0.3970213643
116	0.396785962
117	0.3962087476
118	0.3960649111
119	0.3958380807
120	0.3955068503
121	0.395203505
122	0.3949577824
123	0.3946178272
124	0.394448583
125	0.3943543827
126	0.3941928204
127	0.3938722715
128	0.3936849109
129	0.393310325
130	0.3931035319
131	0.3928928595
132	0.3924009329
133	0.3922091258
134	0.3917947752
135	0.3916046509
136	0.3912796616
137	0.3910552071
138	0.3908942614
139	0.3907932712
140	0.3901638428
141	0.390096405
142	0.389768109
143	0.389684746
144	0.3895520903
145	0.3893511277
146	0.3888464295
147	0.3885470108
148	0.3884054549
149	0.3880388667
150	0.3878228895
151	0.3876715471
152	0.387558532
153	0.3870842187
154	0.3867338138
155	0.3866237354
156	0.3864377415
157	0.3862977704
158	0.3859654585
159	0.3857360248
160	0.3856068192
161	0.3855017357
162	0.3853870626
163	0.385112191
164	0.3849705397
165	0.3846104228
166	0.3843717837
167	0.3841249218
168	0.3836495812
169	0.3834112707
170	0.3830737433
171	0.3828317092
172	0.3825937096
173	0.3824175
174	0.3820986652
175	0.3819816925
176	0.3815864044
177	0.3812677381
178	0.38112327
179	0.3806442598
180	0.3805570258
181	0.3804820939
182	0.3803815276
183	0.3802185383
